PINTOR,NOMBRE,LUGAR,AÑO,TAMAÑO,LINK
José Clemente Orozco,,,,,
,Zapata,Mexico (Artist's nationality:),1930.0,198.8 × 122.6 cm (78 1/4 × 48 1/4 in.),https://www.artic.edu/artworks/40619/zapata
,The Flag,Mexico (Artist's nationality:),1928.0,25.8 × 42.8 cm (10 3/16 × 16 7/8 in.),https://www.artic.edu/artworks/21656/the-flag
,"Unemployed, Paris",Mexico (Artist's nationality:),1932.0,Image: 36.3 × 26.7 cm (14 5/16 × 10 9/16 in.); Sheet: 45.6 × 32.7 cm (18 × 12 7/8 in.),https://www.artic.edu/artworks/3307/unemployed-paris
